0%,Crafting Perfection Progress,,,,,,,,,,
,,,,,,,,,,,
,,Recipe - Page 1,Ingredients,Recipe Source,,Total Materials Needed,,,,,
FALSE,,Wood Fence,Wood(2),Starter,,,#,Item,,#,Item
FALSE,,Stone Fence,Stone(2),Farming Lv 2,,Crops/Seeds,,,Resources,,
FALSE,,Iron Fence (10),Iron Bar,Farming Lv 4,,FALSE,1,Blue Jazz Seeds,FALSE,11,Battery Pack
FALSE,,Hardwood Fence,Hardwood,Farming Lv 6,,FALSE,10,Garlic,FALSE,133,Bone Fragment
FALSE,,Grass Starter,Fiber(10),"General Store for 1,000g",,FALSE,1,Fairy Rose,FALSE,20,Cinder Shard
FALSE,,Blue Grass Starter,"Fiber(25), Moss(10), Mystic Syrup",Qi's Walnut Room for 40 Qi Gems,,FALSE,1,Poppy Seeds,FALSE,11,Clay
FALSE,,Gate,Wood(10),Starter,,FALSE,1,Pumpkin,FALSE,95,Coal
FALSE,,Chest,Wood(50),Starter,,FALSE,1,Spangle Seeds,FALSE,18,Copper Bar
FALSE,,Big Chest,"Wood(120), Copper Bar(2)","Carpenter's Shop for 5,000g",,FALSE,1,Tulip Bulb,FALSE,28,Copper Ore
FALSE,,Stone Chest,Stone(50),"Robin, after completing ""Robin's Resource Rush""",,Forage,,,FALSE,"1,328",Fiber
FALSE,,Big Stone Chest,Stone(250),"Dwarf's Shop for 5,000g",,FALSE,6,Acorn,FALSE,40,Gold Bar
FALSE,,Torch,"Wood, Sap(2)",Starter,,FALSE,1,Blackberry,FALSE,4,Gold Ore
FALSE,,Dehydrator,"Wood(30), Clay(2), Fire Quartz","Pierre's Shop for 10,000g",,FALSE,1,Chanterelle,FALSE,243,Hardwood
FALSE,,Scarecrow,"Wood(50), Coal, Fiber(20)",Farming Lv 1,,FALSE,1,Clam,FALSE,53,Iridium Bar
FALSE,,Deluxe Scarecrow,"Wood(50), Fiber(40), Iridium Ore",Collect all Rarecrows (Guide on 'Misc.' tab),,FALSE,1,Coconut,FALSE,5,Iridium Ore
FALSE,,Bee House,"Wood(40), Coal(8), Iron Bar, Maple Syrup",Farming Lv 3,,FALSE,1,Common Mushroom,FALSE,103,Iron Bar
FALSE,,Keg,"Wood(30), Copper Bar, Iron Bar, Oak Resin",Farming Lv 8,,FALSE,6,Coral,FALSE,4,Iron Ore
FALSE,,Cask,"Wood(20), Hardwood",Farmhouse cellar upgrade,,FALSE,1,Crocus,FALSE,2,Radioactive Bar
FALSE,,Furnace,"Copper Ore(20), Stone(25)","Clint, after collecting a Copper Ore",,FALSE,1,Crystal Fruit,FALSE,2,Radioactive Ore
FALSE,,Heavy Furnace,"Furnace(2), Iron Bar(3), Stone(50)",Mining Mastery,,FALSE,1,Dandelion,FALSE,27,Refined Quartz
